postać_a,postać_b,sila
CHLOE,CHRISTOF,17
MERYL,TRUMAN,13
CHRISTOF,SIMEON,12
MARLON,TRUMAN,8
CHRISTOF,TRUMAN,6
CHLOE,SIMEON,5
CHRISTOF,MOSES,4
CHRISTOF,ROMAN,4
LAWRENCE,TRUMAN,3
MOSES,ROMAN,3
CHRISTOF,OPERATOR,3
OPERATOR,SIMEON,3
CHRISTOF,MARLON,3
FATHER,TRUMAN,2
WOMAN,YOUTH 1,2
CHRISTOF,RAQUEL,2
RAQUEL,TRUMAN,2
CHRISTOF,LAUREN,2
LAUREN,TRUMAN,2
CHRISTOF,SYLVIA,2
TRUMAN,VERONICA,2
SECURITY GUARD 2,TRUMAN,2
CHLOE,MOSES,2
CHLOE,ROMAN,2
CHLOE,OPERATOR,2
ROMAN,SIMEON,2
CHRISTOF,INTERVIEWER,2
CHRI STOF,CHRISTOF,2
MOSES,SIMEON,2
TRUMAN,VENDOR,1
DOUGLAS,SISTER,1
DOUGLAS,TRUMAN,1
SISTER,TRUMAN,1
FEMALE CASHIER,MALE CUSTOMER,1
FEMALE CASHIER,TRUMAN,1
FEMALE CASHIER,TYRONE,1
MALE CUSTOMER,TRUMAN,1
MALE CUSTOMER,TYRONE,1
TRUMAN,TYRONE,1
COMMUTER 1,COMMUTER 2,1
CONCIERGE,TRUMAN,1
WOMAN,YOUTH 2,1
YOUTH 1,YOUTH 2,1
GUARD 1,GUARD 2,1
OLD WOMAN 1,OLD WOMAN 2,1
ATTENDANT,TRUMAN,1
CHRISTOF,RACQUEL,1
RACQUEL,RAQUEL,1
RACQUEL,TRUMAN,1
CHLOE,VERONICA,1
CHRISTOF,VERONICA,1
CHRISTOF,GIRLFRIEND 1,1
GIRLFRIEND 1,LAUREN,1
GIRLFRIEND 1,TRUMAN,1
CHRISTOF,MAN,1
LAUREN,MAN,1
LAUREN,SYLVIA,1
MAN,SYLVIA,1
MAN,TRUMAN,1
SYLVIA,TRUMAN,1
SECURITY GUARD 1,SECURITY GUARD 2,1
SECURITY GUARD 1,TRUMAN,1
OFFICIAL,SECURITY GUARD 2,1
OFFICIAL,TRUMAN,1
BOY,TRUMAN,1
JOGGER 1,JOGGER 2,1
JOGGER 1,TRUMAN,1
JOGGER 2,TRUMAN,1
MERYL,NARRATOR,1
NARRATOR,TRUMAN,1
SECURITY GUARD,TRUMAN,1
AGENT,TRUMAN,1
CHLOE,PROD. MANAGER,1
CHRISTOF,PROD. MANAGER,1
INSURANCE AGENT,LAWRENCE,1
INSURANCE AGENT,TRUMAN,1
TRUMAN,YOUNG MOTHER,1
MERYL,OFFICER,1
OFFICER,TRUMAN,1
CHRISTOF,MERYL,1
MARLON,MERYL,1
CHRISTOF,FEMALE CALLER 1,1
CHRISTOF,MALE CALLER 1,1
CHRISTOF,MALE CALLER 3,1
FEMALE CALLER 1,INTERVIEWER,1
FEMALE CALLER 1,MALE CALLER 1,1
FEMALE CALLER 1,MALE CALLER 3,1
INTERVIEWER,MALE CALLER 1,1
INTERVIEWER,MALE CALLER 3,1
MALE CALLER 1,MALE CALLER 3,1
CHRISTOF,FEMALE CALLER 2,1
FEMALE CALLER 2,INTERVIEWER,1
CHRISTOF,LAWRENCE,1
CHLOE,MARLON,1
CHLOE,VIVIEN,1
CHRISTOF,VIVIEN,1
MARLON,VIVIEN,1
BARMAN,PATRON,1
BARMAN,WAITRESS,1
BARMAN,WOMAN,1
PATRON,WAITRESS,1
PATRON,WOMAN,1
WAITRESS,WOMAN,1
CHRI STOF,OPERATOR,1
CHRI STOF,SIMEON,1
CHLOE,CHRI STOF,1
POLICE OFFICER,TRUMAN,1
SIMEON,SYLVIA,1
CHOPPER PILOT,TRUMAN,1
MOSES,OPERATOR,1
OPERATOR,ROMAN,1
CHILD,GUIDE,1
CHILD,TRUMAN,1
GUIDE,TRUMAN,1
GUARD,GUIDE,1
